,start_num,stop_reason,FX_best,X_best,Xmin,Xmax,dimensions,error_norm
79,79,stagnation_lim,-389.99999999533986,[0.99993271 0.99986428],-6,6,2,4.660137165046763e-09
80,80,stagnation_lim,-389.9999962420576,[0.99806171 0.99613027],-6,6,2,3.757942408810777e-06
81,81,stagnation_lim,-389.9999999966788,[0.99994271 0.9998848 ],-6,6,2,3.32119043378043e-09
82,82,stagnation_lim,-389.9999743133872,[0.9949384  0.98987657],-6,6,2,2.5686612787012564e-05
83,83,stagnation_lim,-389.99999999989376,[1.00001017 1.00002017],-6,6,2,1.0624034985085018e-10
84,84,stagnation_lim,-390.0,[1.00000011 1.00000021],-6,6,2,0.0
85,85,stagnation_lim,-389.9999999758954,[0.99984527 0.99968928],-6,6,2,2.410462229818222e-08
86,86,stagnation_lim,-389.99999999999744,[0.99999841 0.99999683],-6,6,2,2.5579538487363607e-12
87,87,stagnation_lim,-389.99999997596984,[0.99990118 0.99981432],-6,6,2,2.4030157419474563e-08
88,88,stagnation_lim,-389.99999981435906,[1.00043044 1.00086297],-6,6,2,1.8564094261819264e-07
89,89,stagnation_lim,-389.9999999977685,[1.00004716 1.00009459],-6,6,2,2.2315020942187402e-09
90,90,stagnation_lim,-389.9999981116285,[1.00136725 1.00275015],-6,6,2,1.888371514269238e-06
91,91,stagnation_lim,-389.9999993311975,[1.00081735 1.00163809],-6,6,2,6.688024996037711e-07
92,92,stagnation_lim,-389.9999997674379,[0.99951813 0.99903458],-6,6,2,2.3256211534317117e-07
93,93,stagnation_lim,-389.99999999953667,[0.99999976 0.99999737],-6,6,2,4.6333070713444613e-10
94,94,stagnation_lim,-389.99999989524736,[0.99968241 0.99937116],-6,6,2,1.0475264389242511e-07
95,95,stagnation_lim,-389.9999999977939,[0.99995304 0.99990617],-6,6,2,2.206093085987959e-09
96,96,stagnation_lim,-389.999999999474,[0.99997761 0.99995571],-6,6,2,5.259721547190566e-10
97,97,stagnation_lim,-389.99999977698343,[1.00042762 1.00087546],-6,6,2,2.2301657054413226e-07
98,98,stagnation_lim,-389.99999988454056,[0.99974055 0.99945922],-6,6,2,1.1545944289537147e-07
99,99,stagnation_lim,-389.9999999936986,[1.00007894 1.00015872],-6,6,2,6.3013771978148725e-09
100,0,stagnation_lim,-389.99827868982845,[0.9906244  0.9819134  0.9644195  0.93010788],-6,6,4,0.0017213101715469747
101,1,stagnation_lim,-389.99975323939253,[0.99654921 0.99310482 0.98634793 0.97291446],-6,6,4,0.00024676060746742223
102,2,stagnation_lim,-389.9995783246339,[0.99549606 0.99101946 0.98211263 0.96445735],-6,6,4,0.00042167536611259493
103,3,stagnation_lim,-389.99966088964067,[0.99597419 0.99195728 0.98393826 0.96810901],-6,6,4,0.0003391103593344269
104,4,stagnation_lim,-389.99961011097344,[0.99567824 0.9913538  0.98279326 0.96593963],-6,6,4,0.0003898890265645605
105,5,stagnation_lim,-389.99996611907505,[1.00127412 1.00254683 1.00503931 1.01009668],-6,6,4,3.388092494560624e-05
106,6,stagnation_lim,-389.99962375935513,[0.99575893 0.99151841 0.98308387 0.96642768],-6,6,4,0.0003762406448686306
107,7,stagnation_lim,-389.9989949611092,[0.99302451 0.98607634 0.97240051 0.94549607],-6,6,4,0.0010050388908098284
108,8,stagnation_lim,-389.9997434629818,[0.99648396 0.99297257 0.98616862 0.97246177],-6,6,4,0.0002565370181741855
109,9,stagnation_lim,-389.99948092330004,[0.9950039  0.99002154 0.98013734 0.96066182],-6,6,4,0.0005190766999589869
110,10,stagnation_lim,-389.9456608245185,[0.94528171 0.89400128 0.8007048  0.64237728],-6,6,4,0.05433917548151612
111,11,stagnation_lim,-389.99922451290945,[0.99389526 0.98781933 0.97573891 0.95196586],-6,6,4,0.0007754870905500866
112,12,stagnation_lim,-389.99978155043374,[0.99679222 0.99356997 0.98713199 0.97433342],-6,6,4,0.00021844956626182466
113,13,stagnation_lim,-389.99879450577487,[0.99234096 0.98475458 0.96978377 0.94037136],-6,6,4,0.0012054942251324974
114,14,stagnation_lim,-389.99944566019184,[1.00512694 1.01019642 1.02052236 1.04161264],-6,6,4,0.0005543398081613304
115,15,stagnation_lim,-389.9992071904287,[0.99381094 0.98764523 0.97558076 0.95156683],-6,6,4,0.0007928095712941285
116,16,stagnation_lim,-389.99961749836325,[1.00426642 1.00851307 1.01707736 1.03444236],-6,6,4,0.00038250163675002113
117,17,stagnation_lim,-389.9988441945908,[0.9925365  0.9850974  0.97040943 0.94154251],-6,6,4,0.0011558054092120074
118,18,stagnation_lim,-389.9997634444457,[0.99660595 0.99328754 0.9866083  0.97334945],-6,6,4,0.00023655555429513697
119,19,stagnation_lim,-389.99956844301937,[0.99545308 0.99092602 0.98189674 0.96403901],-6,6,4,0.0004315569806294661
120,20,stagnation_lim,-389.99979268604255,[0.99683157 0.99371014 0.98745285 0.97502568],-6,6,4,0.0002073139574463312
121,21,stagnation_lim,-389.99971958705714,[0.99633183 0.99268392 0.98539748 0.97097114],-6,6,4,0.0002804129428568558
122,22,stagnation_lim,-389.9996846089116,[0.9961032  0.99222151 0.98451859 0.96928343],-6,6,4,0.00031539108840661356
123,23,stagnation_lim,-389.99896953955255,[0.99290455 0.98592703 0.97217225 0.94487841],-6,6,4,0.0010304604474526968
124,24,stagnation_lim,-389.9996578432485,[0.99595609 0.99196365 0.98390764 0.96795493],-6,6,4,0.0003421567515147217
125,25,stagnation_lim,-389.9997937482573,[0.99682124 0.99372331 0.98751651 0.9752454 ],-6,6,4,0.00020625174272481672
126,26,stagnation_lim,-389.9996861832642,[1.0038291  1.00769811 1.01546305 1.03124997],-6,6,4,0.0003138167357974453
127,27,stagnation_lim,-389.9995515453623,[0.99535163 0.99073518 0.98153509 0.9634062 ],-6,6,4,0.0004484546377057086
128,28,stagnation_lim,-389.9998469282075,[0.99729145 0.99458915 0.98932694 0.978662  ],-6,6,4,0.00015307179251067282
129,29,stagnation_lim,-389.99953714757135,[0.99528515 0.99056746 0.98126683 0.9629532 ],-6,6,4,0.00046285242865451437
130,30,stagnation_lim,-389.9985915593329,[1.00811094 1.01622725 1.03282683 1.06668935],-6,6,4,0.0014084406670917815
131,31,stagnation_lim,-389.99973976394665,[1.00351353 1.00695824 1.01406048 1.0282734 ],-6,6,4,0.0002602360533501269
132,32,stagnation_lim,-389.99975737484027,[1.00334626 1.00671794 1.01356872 1.02743976],-6,6,4,0.00024262515972850451
133,33,stagnation_lim,-389.9993757670568,[0.99455147 0.98910232 0.97821818 0.95687331],-6,6,4,0.0006242329432097904
134,34,stagnation_lim,-389.9998846077953,[0.99763533 0.9953108  0.99063589 0.9813584 ],-6,6,4,0.00011539220469103384
135,35,stagnation_lim,-389.99972645676513,[0.99638232 0.99274251 0.98560559 0.97141631],-6,6,4,0.00027354323486861176
136,36,stagnation_lim,-389.9997852542643,[0.99679226 0.99357916 0.98722923 0.97460614],-6,6,4,0.00021474573571822475
137,37,stagnation_lim,-389.99980546172907,[1.00302214 1.00605866 1.01217677 1.02456259],-6,6,4,0.00019453827093229847
138,38,stagnation_lim,-389.9996958588921,[1.00376228 1.00756036 1.01523841 1.0307543 ],-6,6,4,0.00030414110790388804
139,39,stagnation_lim,-389.999651423138,[0.99590289 0.9918136  0.98373814 0.96770548],-6,6,4,0.0003485768619952978
140,40,stagnation_lim,-389.9998021576747,[0.99687825 0.993878   0.98777954 0.97571849],-6,6,4,0.0001978423252921857
141,41,stagnation_lim,-389.9996437140701,[0.99589466 0.99182693 0.98356453 0.96741571],-6,6,4,0.00035628592991088226
142,42,stagnation_lim,-389.99722706726357,[0.98853307 0.97685491 0.95431639 0.91046467],-6,6,4,0.002772932736434086
143,43,stagnation_lim,-389.99763662900205,[0.98919254 0.9785775  0.9577503  0.91724348],-6,6,4,0.0023633709979549167
144,44,stagnation_lim,-389.99957330222344,[0.99546567 0.99093863 0.98200562 0.96433514],-6,6,4,0.0004266977765610136
145,45,stagnation_lim,-389.9998426273363,[1.00271486 1.00545476 1.01095828 1.02206771],-6,6,4,0.0001573726636934225
146,46,stagnation_lim,-389.9995316654957,[0.99524574 0.99055324 0.98113667 0.96258877],-6,6,4,0.00046833450431904566
147,47,stagnation_lim,-389.99991340693754,[1.00202904 1.0040507  1.00812557 1.01630173],-6,6,4,8.659306246272536e-05
148,48,stagnation_lim,-389.9829752000764,[0.97081362 0.9421913  0.88700201 0.7869171 ],-6,6,4,0.01702479992360395
149,49,stagnation_lim,-389.9998878414469,[0.99763968 0.99539502 0.9908358  0.98171996],-6,6,4,0.00011215855312229905
150,50,stagnation_lim,-389.9992224156215,[0.99386665 0.98780803 0.97571582 0.95191072],-6,6,4,0.0007775843785111647
151,51,stagnation_lim,-389.9996287883045,[0.99578523 0.99156421 0.98323352 0.9666483 ],-6,6,4,0.0003712116954943667
152,52,stagnation_lim,-389.9488736551378,[1.04753459 1.09511294 1.19720354 1.43294793],-6,6,4,0.05112634486221168
153,53,stagnation_lim,-389.99918586782235,[0.99372342 0.9875055  0.97516608 0.95081238],-6,6,4,0.0008141321776520272
154,54,stagnation_lim,-389.9997806141454,[0.9967455  0.99351174 0.98723053 0.97471929],-6,6,4,0.0002193858546206684
155,55,stagnation_lim,-389.99963090206796,[0.99579998 0.99161985 0.98324417 0.96674909],-6,6,4,0.000369097932036766
156,56,stagnation_lim,-389.9997284890859,[0.99638183 0.99281056 0.98566151 0.97142799],-6,6,4,0.00027151091410360095
157,57,stagnation_lim,-389.99975552197117,[0.99651552 0.99325541 0.98650836 0.97322856],-6,6,4,0.00024447802883287295
158,58,stagnation_lim,-389.99983079714855,[0.99716097 0.99430252 0.98866359 0.97744032],-6,6,4,0.00016920285145261005
159,59,stagnation_lim,-389.99990828060874,[0.99791814 0.99583031 0.99164194 0.98335031],-6,6,4,9.171939126417783e-05
160,60,stagnation_lim,-389.9990475413686,[1.0066453  1.01340083 1.02698608 1.0547174 ],-6,6,4,0.0009524586313887085
161,61,stagnation_lim,-389.9995672295253,[0.99540895 0.9909025  0.98191819 0.96404166],-6,6,4,0.0004327704746742711
162,62,stagnation_lim,-389.99946133413056,[0.9949118  0.9898257  0.9797858  0.95990995],-6,6,4,0.0005386658694419566
163,63,stagnation_lim,-389.9998490699994,[0.99730451 0.99461409 0.98930633 0.97870256],-6,6,4,0.00015093000058641337
164,64,stagnation_lim,-389.9982371084071,[0.99078216 0.9816124  0.96344444 0.9280848 ],-6,6,4,0.0017628915928753486
165,65,stagnation_lim,-389.9987079396256,[1.00795092 1.0155091  1.03093697 1.06285799],-6,6,4,0.001292060374396442
166,66,stagnation_lim,-389.999452330959,[0.99486337 0.98976767 0.97960527 0.95955603],-6,6,4,0.0005476690409977891
167,67,stagnation_lim,-389.99998929287773,[1.00071557 1.00142939 1.00285376 1.00571066],-6,6,4,1.0707122271469416e-05
168,68,stagnation_lim,-389.99936454085974,[1.0054809  1.01094863 1.02203036 1.04453889],-6,6,4,0.0006354591402555343
169,69,stagnation_lim,-389.99971368287055,[1.00366044 1.00735225 1.01477812 1.02983782],-6,6,4,0.0002863171294507083
170,70,stagnation_lim,-389.9994545206553,[0.99486619 0.98983296 0.97970073 0.95965002],-6,6,4,0.0005454793446801887
171,71,stagnation_lim,-389.9784263996781,[0.9665075  0.93466347 0.8738954  0.76213144],-6,6,4,0.02157360032191491
172,72,stagnation_lim,-389.999654950871,[0.99595112 0.99189295 0.98380431 0.96781251],-6,6,4,0.00034504912900956697
173,73,stagnation_lim,-389.9986022052725,[0.99171443 0.98358976 0.96746221 0.93603522],-6,6,4,0.0013977947274952385
174,74,stagnation_lim,-389.999185664042,[0.99376949 0.98754797 0.97514069 0.95079107],-6,6,4,0.0008143359580117249
175,75,stagnation_lim,-389.99970647308413,[1.00371852 1.00741021 1.01495627 1.03018896],-6,6,4,0.00029352691586836954
176,76,stagnation_lim,-389.9990321299158,[0.99313898 0.98654023 0.9730137  0.94667861],-6,6,4,0.0009678700841959653
177,77,stagnation_lim,-389.98032888407926,[0.96770632 0.93925684 0.88196845 0.77934072],-6,6,4,0.019671115920743887
178,78,stagnation_lim,-389.9993364098901,[0.99436635 0.98872925 0.97753927 0.95558291],-6,6,4,0.0006635901099230068
179,79,stagnation_lim,-389.9995466850367,[0.99533853 0.99069137 0.98143283 0.96323405],-6,6,4,0.00045331496329481524
180,80,stagnation_lim,-389.99956860755765,[1.00448113 1.0090056  1.0181478  1.0366961 ],-6,6,4,0.00043139244235135266
181,81,stagnation_lim,-389.9997780364246,[0.99675453 0.99348738 0.98700508 0.97416171],-6,6,4,0.0002219635754272531
182,82,stagnation_lim,-389.9995374381905,[0.99529316 0.99057618 0.98125686 0.96282444],-6,6,4,0.0004625618095133177
183,83,stagnation_lim,-389.9997228032256,[0.99634395 0.99274349 0.98548568 0.97116251],-6,6,4,0.00027719677439108636
184,84,stagnation_lim,-389.99987182319364,[1.00246881 1.0049505  1.00984429 1.01978689],-6,6,4,0.00012817680635635043
185,85,stagnation_lim,-389.9999471214175,[0.99840379 0.99681638 0.99366948 0.98735778],-6,6,4,5.2878582494031434e-05
186,86,stagnation_lim,-389.999771874295,[1.00328171 1.00657455 1.01319557 1.02655684],-6,6,4,0.0002281257050071872
187,87,stagnation_lim,-389.9992469024764,[1.00596095 1.0118977  1.0239855  1.04851277],-6,6,4,0.0007530975236136328
188,88,stagnation_lim,-389.9991050429313,[0.99341453 0.9868817  0.97399478 0.9484965 ],-6,6,4,0.0008949570686809238
189,89,stagnation_lim,-389.99900327408096,[0.99305938 0.98619286 0.97254028 0.94564269],-6,6,4,0.0009967259190375444
190,90,stagnation_lim,-389.97814568084345,[1.03088969 1.06301918 1.13005423 1.27727297],-6,6,4,0.0218543191565459
191,91,stagnation_lim,-389.9994559336618,[0.99489484 0.98975781 0.97970509 0.95986293],-6,6,4,0.0005440663381932609
192,92,stagnation_lim,-389.9997386166431,[0.99649739 0.99295747 0.98590078 0.97202819],-6,6,4,0.00026138335687164727
193,93,stagnation_lim,-389.99927251254286,[0.9940949  0.98819553 0.9765144  0.95345437],-6,6,4,0.0007274874571407963
194,94,stagnation_lim,-389.9998843379435,[0.99764664 0.99531698 0.9906198  0.98130715],-6,6,4,0.00011566205648705363
195,95,stagnation_lim,-389.9998575437374,[0.9973801  0.99478562 0.98966543 0.9795433 ],-6,6,4,0.00014245626260844801
196,96,stagnation_lim,-389.9976893475272,[0.98915583 0.97893398 0.95888036 0.9195319 ],-6,6,4,0.00231065247277229
197,97,stagnation_lim,-389.99995969348186,[1.00137669 1.00275386 1.00554429 1.01112571],-6,6,4,4.0306518144461734e-05
198,98,stagnation_lim,-389.991314602368,[0.97918739 0.95869924 0.91920465 0.8445322 ],-6,6,4,0.008685397632007152
199,99,stagnation_lim,-389.9997023326332,[0.99621684 0.99245113 0.98496031 0.97010482],-6,6,4,0.00029766736679448513
200,0,stagnation_lim,-389.76449861393655,"[0.99023852 0.98116935 0.9648071  0.93442689 0.87888095 0.77516442
 0.60206686 0.3628542 ]",-6,6,8,0.23550138606344717
201,1,stagnation_lim,-387.9790240710829,"[0.9482004  0.9006704  0.81183757 0.6628639  0.44383399 0.20687575
 0.05063928 0.00164759]",-6,6,8,2.020975928917096
202,2,stagnation_lim,-385.3365260027955,"[-0.9871332   0.98211662  1.00878326  1.03710195  1.09445685  1.22867331
  1.48973623  2.22401777]",-6,6,8,4.663473997204505
203,3,stagnation_lim,-389.9260988229361,"[0.99554094 0.99146689 0.98310655 0.9652354  0.93835906 0.88429867
 0.77984721 0.6093406 ]",-6,6,8,0.073901177063874
204,4,stagnation_lim,-389.89272459097356,"[0.99410585 0.98969483 0.97851101 0.95967579 0.92257976 0.8516983
 0.72458185 0.52421104]",-6,6,8,0.1072754090264425
205,5,stagnation_lim,-389.2330222154098,"[0.97895767 0.96392406 0.93270866 0.86814732 0.75161244 0.55628071
 0.31626384 0.09963023]",-6,6,8,0.7669777845902104
206,6,stagnation_lim,-386.98958347458006,"[ 0.89616427  0.81641588  0.68148673  0.46426604  0.21158243  0.03894418
  0.01171071 -0.00091495]",-6,6,8,3.0104165254199415
207,7,stagnation_lim,-389.87435291644624,"[0.99382201 0.98765352 0.97639702 0.95411356 0.91438659 0.83995164
 0.70579088 0.49780292]",-6,6,8,0.12564708355375842
208,8,stagnation_lim,-388.61337332499477,"[0.95968875 0.92772442 0.86946372 0.7845503  0.62392342 0.40503493
 0.1684555  0.02429255]",-6,6,8,1.3866266750052318
209,9,stagnation_lim,-388.6593416041545,"[0.96617681 0.93369078 0.87504968 0.78167573 0.61878778 0.38819823
 0.15631257 0.02013396]",-6,6,8,1.3406583958454803
