,start_num,stop_reason,FX_best,X_best,dimensions,error_norm
118,18,stagnation_lim,-329.9999999999778,[ 3.73219128e-08 -2.50930058e-07  1.71780807e-07  1.35243803e-07],4,2.2225776774575934e-11
119,19,stagnation_lim,-329.9999999999841,[ 6.96899323e-08 -4.18271829e-08  2.71469505e-07  3.20824224e-09],4,1.5916157281026244e-11
120,20,stagnation_lim,-329.99999999999864,[ 2.41069837e-08  7.03176041e-08 -1.87150702e-09  3.82559840e-08],4,1.3642420526593924e-12
121,21,stagnation_lim,-329.99999999998215,[ 9.08922088e-08 -9.24376152e-08 -1.31160146e-07 -2.36307107e-07],4,1.7848833522293717e-11
122,22,stagnation_lim,-329.9999999999906,[ 6.60028388e-09 -1.43298169e-07  1.60886330e-07  2.62378943e-08],4,9.379164112033322e-12
123,23,stagnation_lim,-329.99999999999983,[-5.02806288e-09  8.74883974e-10  3.03618618e-08  6.16208086e-09],4,1.7053025658242404e-13
124,24,stagnation_lim,-329.99999999999704,[-1.66051350e-08 -3.72235516e-08 -6.81869521e-08  9.31495953e-08],4,2.9558577807620168e-12
125,25,stagnation_lim,-329.99999999999943,[-5.03057452e-08 -8.38327329e-09  5.59234944e-10 -1.97512459e-08],4,5.684341886080801e-13
126,26,stagnation_lim,-329.99999999999886,[ 1.79894151e-08 -6.27871428e-08  4.68024763e-09  3.83065342e-08],4,1.1368683772161603e-12
127,27,stagnation_lim,-329.9999999999969,[-1.03580572e-08 -5.73784842e-09  9.30153881e-08  8.28263160e-08],4,3.126388037344441e-12
128,28,stagnation_lim,-329.9999999999963,[-1.05580426e-07  1.61145019e-08  5.29830278e-08 -6.57296094e-08],4,3.694822225952521e-12
129,29,stagnation_lim,-329.999999999999,[-6.39216924e-08  2.85427128e-08  1.55002417e-08  1.04596031e-08],4,1.0231815394945443e-12
130,30,stagnation_lim,-329.99999999999847,[ 1.63598543e-08 -4.31981491e-08 -1.99828127e-08  7.26554691e-08],4,1.5347723092418164e-12
131,31,stagnation_lim,-329.9999999999987,[-2.63359303e-08  1.33286141e-08 -6.70507787e-08  3.38445405e-08],4,1.3073986337985843e-12
132,32,stagnation_lim,-329.9999999999981,[-1.23508261e-08  1.64915125e-08 -1.25851883e-08 -9.34717152e-08],4,1.8758328224066645e-12
133,33,stagnation_lim,-329.9999999999994,[-2.42254341e-08 -2.57346571e-08 -3.53735129e-08 -2.75483785e-08],4,6.252776074688882e-13
134,34,stagnation_lim,-329.9999999999962,[ 9.14117264e-08 -2.25920208e-08  4.72010714e-08 -9.00770219e-08],4,3.808509063674137e-12
135,35,stagnation_lim,-329.9999999999922,[-1.65961314e-07 -5.45599981e-08 -8.00613555e-09 -9.35690507e-08],4,7.787548383930698e-12
136,36,stagnation_lim,-329.9999999999993,[ 1.21737849e-09  1.17935188e-09 -2.74480864e-08  5.26902558e-08],4,6.821210263296962e-13
137,37,stagnation_lim,-329.9999999999998,[-7.27433871e-09  2.70492017e-09  9.80168748e-09 -3.20374750e-08],4,2.2737367544323206e-13
138,38,stagnation_lim,-329.99999999999494,[-5.62632133e-08  1.46315630e-07  2.92033043e-08  8.89844124e-09],4,5.059064278611913e-12
139,39,stagnation_lim,-329.9999999999991,[-4.88194489e-08  2.46638462e-08  1.81558626e-08  3.48394485e-08],4,9.094947017729282e-13
140,40,stagnation_lim,-329.999999999997,[-1.17872349e-08 -6.98873022e-08 -9.24283785e-08  4.11040252e-08],4,3.0127011996228248e-12
141,41,stagnation_lim,-329.9999999999974,[-4.17316566e-08 -4.59782016e-08  8.44314747e-08 -4.67423879e-08],4,2.6147972675971687e-12
142,42,stagnation_lim,-329.999999999998,[ 6.39811829e-09 -6.88629016e-08 -5.78719155e-08  4.38416151e-08],4,1.9895196601282805e-12
143,43,stagnation_lim,-329.99999999999585,[-1.23138878e-08  5.08345438e-08  1.34648270e-07  1.39465800e-08],4,4.149569576838985e-12
144,44,stagnation_lim,-329.9999999999982,[ 4.27406040e-08 -6.73749008e-08  2.11837508e-08  4.97820177e-08],4,1.8189894035458565e-12
145,45,stagnation_lim,-329.99999999999864,[ 2.13246890e-08 -7.98019140e-08 -2.57599877e-09  5.36452075e-10],4,1.3642420526593924e-12
146,46,stagnation_lim,-329.9999999999981,[-1.83192046e-08 -8.85396156e-08 -2.28793580e-08  2.90878658e-08],4,1.8758328224066645e-12
147,47,stagnation_lim,-329.9999999999994,[-3.38357990e-08 -2.75747807e-08 -2.63957308e-08 -2.53016328e-08],4,6.252776074688882e-13
148,48,stagnation_lim,-330.0,[-1.05648921e-08  1.99168749e-09 -1.04782990e-09  4.42047545e-09],4,0.0
149,49,stagnation_lim,-329.9999999999985,[-2.08489223e-08  6.10245304e-08 -5.28146995e-08 -2.30574261e-08],4,1.4779288903810084e-12
150,50,stagnation_lim,-329.99999999999784,[-1.56288634e-08  4.69853941e-08 -1.75352738e-09  9.25296692e-08],4,2.1600499167107046e-12
151,51,stagnation_lim,-329.999999999928,[-1.84986502e-07  3.91989767e-07  5.55417740e-08 -4.14815373e-07],4,7.202061169664375e-11
152,52,stagnation_lim,-329.99999999999704,[ 1.15361295e-07 -2.52481994e-09 -1.16587496e-08 -3.77953909e-08],4,2.9558577807620168e-12
153,53,stagnation_lim,-329.9999999999972,[-8.33328393e-08  3.29753477e-09  9.02760364e-09  8.34028757e-08],4,2.7853275241795927e-12
154,54,stagnation_lim,-329.99999999999784,[-4.35921154e-08  1.29946720e-08  9.36065684e-08 -4.87485964e-09],4,2.1600499167107046e-12
155,55,stagnation_lim,-329.99999999999847,[ 2.88369475e-08  1.68534753e-08 -8.02051899e-08 -1.62287668e-08],4,1.5347723092418164e-12
156,56,stagnation_lim,-329.9999999999994,[1.66521014e-08 2.05058826e-08 3.69411497e-08 3.39270364e-08],4,6.252776074688882e-13
157,57,stagnation_lim,-329.9999999999935,[-1.51708252e-07  1.51100994e-08  9.54260598e-08 -2.01609103e-08],4,6.480149750132114e-12
158,58,stagnation_lim,-329.99999999999596,[ 5.67884690e-09 -7.36093844e-08  1.20152862e-07 -2.14639126e-08],4,4.035882739117369e-12
159,59,stagnation_lim,-329.9999999999997,[ 1.27961223e-08  2.96752989e-08  1.04754106e-08 -1.64924344e-08],4,2.8421709430404007e-13
160,60,stagnation_lim,-329.9999999999986,[ 1.17971384e-09  1.72774109e-08  6.47777092e-08 -5.20061707e-08],4,1.4210854715202004e-12
161,61,stagnation_lim,-329.99999999999886,[ 2.35604698e-09 -3.08536902e-08 -8.26232691e-09 -6.76625994e-08],4,1.1368683772161603e-12
162,62,stagnation_lim,-329.99999999999847,[-1.58641242e-08  1.70450124e-08  4.05692730e-08 -7.39887236e-08],4,1.5347723092418164e-12
163,63,stagnation_lim,-329.999999999999,[-4.14934823e-11 -6.61453883e-08  5.68112992e-09  2.84818989e-08],4,1.0231815394945443e-12
164,64,stagnation_lim,-329.9999999999993,[-4.40482877e-08 -2.82619244e-08 -4.59583814e-09 -2.62249860e-08],4,6.821210263296962e-13
165,65,stagnation_lim,-329.99999999999727,[ 8.69475388e-08 -1.92338406e-08 -6.70401648e-08 -3.58281568e-08],4,2.7284841053187847e-12
166,66,stagnation_lim,-329.99999999999994,[ 7.28265123e-09 -1.36892769e-08 -1.11221392e-08 -3.16075883e-10],4,5.684341886080802e-14
167,67,stagnation_lim,-329.999999999999,[ 1.77165371e-08  4.45505277e-08 -5.35381239e-08  8.91285099e-09],4,1.0231815394945443e-12
168,68,stagnation_lim,-329.9999999999889,[-9.15162847e-09  1.17757787e-07 -1.97787721e-07 -5.20563387e-08],4,1.1084466677857563e-11
169,69,stagnation_lim,-329.9999999999981,[ 7.15287538e-08 -6.27532582e-08  1.37032864e-08 -9.68103314e-09],4,1.8758328224066645e-12
170,70,stagnation_lim,-329.99999999999966,[ 2.21195164e-09 -1.05903298e-10  1.60777862e-08 -3.85966794e-08],4,3.410605131648481e-13
171,71,stagnation_lim,-329.9999999999969,[ 2.77881448e-08 -1.15630576e-07  1.89273310e-08  3.50250088e-08],4,3.126388037344441e-12
172,72,stagnation_lim,-329.99999999999926,[5.70502169e-08 4.55508045e-09 2.54389486e-09 1.76545375e-08],4,7.389644451905042e-13
173,73,stagnation_lim,-329.9999999999968,[ 2.47032370e-08 -1.03849899e-07 -6.10066131e-08  3.15063623e-08],4,3.183231456205249e-12
